,review,PN
0,"So people just go nuts for this place and I'm not entirely sure why. We tried this location out last night for a quick and easy Friday night dinner while we were out and about running errands. We got there before the crowd, and our overall impression was that the location is nice, but a little hidden, but that is no fault of the restaurant. 

All things considered, the food was pretty decent. We did not get the wings, as we are trying to be a little bit more healthy. We split the salmon stuffed avocado and it was actually pretty delicious. We also split an order of the Korean tacos. Here is where they lost stars. 

The service was horrible. They had one girl sitting at the front door on her phone pretty much the whole time. Two other ladies were servers, and seemed to hit every table but ours. Even as the restaurant filled up we still expected someone to come refill our water, ask us if we wanted another beer, or at least come take our plates away when we were done and ready for our check. When we ordered the avocado, we asked for cucumbers asked for them on the side and the waitress said that wasn't able- which may be able but she could have also just asked quickly. We ordered anyway and my husband just picked out the cucumbers and put them on my plate. When the tacos out, I waved the waitress for an extra of a spicy mayo and it took her over 5 min to bring it over. Again, we were able to look over that, but we had to have another waitress take away our plates after 10 minutes with no service. We when she did come clear the plates we asked for our check and she said sure I'll take it care for you. And then proceed to completely forget she had any recollection she spoke with us. Meanwhile our original waitress never came to check in on us despite now having nothing left on our table. My husband finally gave up and went to the bar and just asked for a check. 

I hate writing poor reviews, and I really do like Bonchon's food. But the service definitely tempered our experience given that we spent more time at the table after we ate than it took to get actually eat. I hope they start getting it right!",0
1,Always part of our itinerary whenever in KR. tip: always get additional cheese for a truly unforgettable experience,1
2,Very disappointed. Went there on a Saturday night. They said the were down 2 chefs. It took 20 mins to get thru the food line then 35 mins for our food to come out. The food was hot so that's why I gave a 1 star. I'll never visit this place again. I'd rather go to YCs,0
3,I just had a horrible experience at Genghis Grill I was there with a friend she ordered a burger with bacon on it it came out the bacon with majorly undercooked they said they would bring her some crispy bacon when the bacon arrived it was still undercooked. I'm saying is if they're under cooking their food someone could get sick. I ordered pot stickers that were cold when they came out an undercooked too.:(:(:( We did make the management aware but this situation still ended up unresolved . I would not recommend this restaurant to anyone.,0
4,"Absolutely great place for a good pint and a really good burger, especially for western flight crews overnighting in ICN.

The best part is that if you're the lucky one who enters the place and happens to be airline employee #100, your bill is free. You just won't know it until it's time to pay the bill.",1
5,Korean food seems to becoming more and more fashionable these days. I especially like how there are so many vegetarian/vegan options on offer at this restaurant and it was very clean and comfortable. The toilets are fun - a cat meows whenever you open the door! This type of quirkiness is what makes South East Asia so fascinating. My tofu was fantastic and just spicy enough. Staff were so cute and smiley too. We were the only white people in there which is a testament to how authentic this place is. We would definitely return the next time we are in Birmingham especially as the Hippodrome theatre is down the road.,1
6,"We had dinner here on a Tuesday evening and the restaurant was not busy - 4 other tables occupied. It took 10  minutes to get a menu, another 10 minutes to finally get a hold of someone to take our order and another 20 minutes to get our food. 

What you need to know: 
-Do NOT order the dumplings - they tasted of freezer burn and were plated on stale cabbage. Pretty sure they have been sitting in the freezer for months.
-The restaurant was dirty. There were so many flies & fruitflies landing in our food. 
-If you do decide to try this place out, sit near the back of the restaurant where you will receive more attention from the staff and can avoid all the bugs flying into the restaurant (they leave the front door open). 

I will definitely not be returning to this location.",0
7,"129 = 14:47
127 = 15:08
128 = 9:56

We went to miss Korea in Birmingham, for the first time to see what Korean food was really like. We ordered a range of starters and main courses which included bbq beef marinaded in beer which you was have to grill yourself. Also thier was raw beef bin bargan which tasted lovely. The selection of starters and mains were excellent. The service was good. Food came to moderate timings, the drinks were lovely and light, I went for Korean crushed pear drink which tasted excellent and fizzy. The atmosphere was comfortable.",1
8,"We came for dinner on New Year's Eve - around 6 pm. Easily found a table. We ordered 2 of the chicken fried rice. I didn't want anything spicy and this wasn't. Each person has to order 1 order so we ordered 2 orders of this for 6,000 won each.

Someone cooks the food for you and you can get some pickles, kimchi and salad yourself.

The staff isn't overly friendly but for the price, we didn't expect too much. Food was hot and good. It's more like korean fast food.",1
9,"I was excited to try this place for the Korean BBQ having wandered past a few weeks before. The welcome we received should have given some warning signs of the experience we’d receive - on arrival it took five minutes for the staff to acknowledge us. At which point we were asked to wait for a table. This was fine - however we then sat for 30 minutes before being shown to a table which was vacant when we had arrived half an hour prior.

We’d browsed the menu whilst waiting so were ready to order, but had to wait another 20 minutes to place our order - successive staff members telling us there was only one member of staff ‘who could take orders’. Whilst ordering we were then informed that the restaurant was cash only, so I had to wander to the local Tesco to get enough cash to cover the meal. A 20 minute wait at a busy cashpoint was not ideal but made little difference as our food took a good 45 minutes to arrive anyway.

I love a seafood pajeon (pancake) - this was the first of our order served, the Miss Korea version was unusually heavy and relatively tasteless. A disappointing start. Our bbq options then arrived - this was better, a good portion of pork belly which we struggled to finish. The experience however was affected again by the service. A surly member of staff repeatedly messing with the temperature controls without explanation and removing all food on the bbq to a plate again without explanation (it turns out to replace the grease proof paper on the grill). We also had to ask at least five times to have a glass of tap water delivered to the table - it eventually arriving at the end of the meal.

Overall a very disappointing experience, I don’t think we’ll be back - the food a pale imitation of decent Korean cuisine and some of the worst service I’ve received for a while.",0
