review,PN
our first dining experience in a north korean restaurant totally run and operated by women folks from north korea if you are there for dinner you could get to enjoy the performances traditional and modern from waitresses that double up as performers waitresses were friendly and despite the fact that they have to multi task did not slow down the service the whole experience was quite strange food wise that s not too bad at all but i would not return just for the food and the performance once is good enough ,1
it was my first meal in north korean restaurant comparing to similar korea food restaurant the interior is simpler and atmosphere is rather nothing special however the food was great i ordered so yukgejang spicy beef soup with a bowl of rice and the taste was one of the best for such soups i was alone there for my lunch but was served by two beautiful ladies though out the meal and it was pleasant experienced to chat with various topics with north koreans highly recommended to try food there and have a chat with them ,1
food are generally good tried lunch bulkogi grilled beef and reimen cold noodle which were not bad or could say even better than expected reasonably priced served by beautiful waitressesabout most probably selected ones who spoke english and or japanese rather strange setting many long and big tables mainly for group guests better ask for a smaller table ,1
food is generally good worth mentioning are kimchi which is mild spicy version chewy tasty stirred fried beef excellent scallop not forgetting the spicy taufu soup the waitresses dressed in korean traditional dresses will go up the stage for musical performance around 8 pm which is kinda interesting ,1
we ve passed by the place a couple times and were always curious about what goes on inside and what north korean cuisine is about when our friends came for a visit we thought what better way to entertain them after reading the reviews online food was really really delicious the fried sesame leaves were a surprise we love the topoki rice cake kimchi and especially this cold pork slices dish we were late for the show and yes our waitress too left us midway service and hopped on the stage to perform show starts at 7 30pm every nite it was a hoot just watching the whole fanfare but we had a tonne of fun the only drag about the place was the chain smoking customers will we be back maybe when we have friends in town to entertain ,1
this restaurant is like the setting of a 60s bond movie food overpriced and too spicy for my sensitive palette waitresses creepy and unfriendly only smiling when presenting the bill an alienating experience was so hungry after had to buy so e dumplings from a roadside stand ,0
be sure to try the fried sesame leaves food was good and at 8 00 a dancing and singing show started it lasted about 35 minutes i had expected propaganda because i heard there would be some but there was not table service was ok but not great a bit difficult to get our waitress s attention ,0
we had a feeling of north korea for the evening the food is honest and good and generously served the waitresses are north korean and they propose a stage performance which is taking you in another world and time definitely a place to stop by when you are in phnom penh,1
i have been to several north korean restaurants in several cities they are pretty similar in many ways nothing special if you have been to a north korean restaurant but if you are familiar with the korean food often seen in south korea some dishes with the same names are worth tasting north koreans make kimchi with a different way very unique not the best place if you expect a conversation with your friends because their music is loud and are the reason a lot of people going there for and who knows what the waitresses would do when they hear what you are talking about they all speak khmer english and apparently korean very well ,1
in the middle of phnom penh you ll find this strange place the waitresses all very beautiful and look exactly the same are sent here from north korea and stay for about three years the purpose to inform us about how fantastic there home country is the food was quite good actually not so different from cambodian food but we avoided dog and some other strange dishes at 7 30 this was on a friday the show started all of a sudden our waitresses stopped serving food and got on stage they danced something that reminded me of sound of music and then they sang honey honey abba and one of the played the violin good enough to get a job in any simphony orchestra in the end they picked up three electric guitars and played the whole show was just so bizarre that we sat laughing all the time we brought our three children and they didn t like the food so much but enjoyed the show of course you should not support the regime of north korea i feel a bit ashamed about it but it really was an interesting experience ,1
frequent this unique place tasty north korean food accompanied by the performance of waitresses a musical dinner a must to visit ,1
i never thought that i d be getting any sort of north korean experience while i was in cambodia but it s like a buy one get one fly to cambodia and see north korea they show was amazing i enjoyed it a lot i was totally awed by the way they spun and twirled and the many many instruments that could play they don t allow you to take pictures inside but they won t ask you to delete your photos either once you get your chance to the food was okay but just order a simple dish or something and just enjoy the show ,1
heard a lot about this place one of our visitors said was his favorite restaurants in phnom penh could not wait to try it it was interesting and unusual from a western perspective but definitely not as freaky as others might think the food was good not the best korean food i have ever had had north korean food in seoul which was better the pork ribs and bimbimbap at a hot stove pot was pretty good the dumpling and the vegetable dish were nothing to write home about the waitresses were definitely quite talented well dressed and well groomed my friends thought they look angry from time to time they were a bit stressed since they had to wait on all customers and to perform as well don t expect that they will come by to chat with you the waitresses and the show definitely were trying to reinforce the traditional expectation of women being very thin submissive and gentle no wonder most of the patrons there tonight were males who knows how much of the show were truly north korean or modified to feed a particular expectation the restaurant is closed by 9 pm which i did not expect overall not very memorable food was only alright would not likely go back as the place did allow smoking which always put a big dent on the overall dining experience ,0
i have seen and eaten at many freaky restaurants in africa and asia but this is restaurant is a different ball game altogether it felt like i was in a place meant for north korean propaganda and that experience alone deserves five stars food is decent yes there is dog meat if you want to try it there is a limited beer selection but the best part of the restaurant is the waitresses and the videos all waitresses are made to look like dolls and perform in between serving your food expect anything from a covering of celine dion to hardcore rock music my waitresses hurriedly dropped food at my table and rushed to get on stage it was quite the spectacle and then there are the videos lush landscapes and beaches which i assume are meant to project n korea is a good light definitely visit if you are in the area ,1
the food quality is excellent but more interestingly is the multi talented waitress they were wearing similar dress and they are very beautiful these waitress serve dishes for you and then they skillfully perform sing dance and play band amazing ,1
this restaurant is at the main road of monivong bld we were sceptical after reading the reviews n possible motives behind it however we decided to try it since we will never visit pyongyang yes all the waitresses are dressed in yellow n red chiffon hanbok same shoes same scrunchy n similar hairstyle etc they are soft spoken pretty n friendly with the korean guests the food is rather similar to south korean s or it s just those dishes that we ordered the kimchi with pork 8 was good not sour or too oily the dog soup 12 is probably an acquired taste with lots of spice n some chilli the boiled mackerel fish 10 is yummy for fish lovers jinro soju is a tad too expensive for our liking at 6 the performance starts at 8pm with the waitresses singing dancing n playing guitar drum keyboard n gu zheng very impressive definitely worth a visit for the curious but pls bear with those ppl smoking in the air conditioned restaurant ,1
this whole series of restaurants serve as nothing but a cash collector for the nk government if you don t mind that get the dog stew it was pretty good in fact all the food was pretty good it s expensive for pp but then again you are paying for the hennesey drinking habits of an entire country s plutocracy ,1
avoid avoid avoid the service received or lack of was disgraceful it was the worst i have ever received in any restaurant in the world after being made to feel extremely uncomfortable we walked out not ordering anything vowing never to return again do not bother spending your money and your time there plenty of other restaurants in phnom penh to choose from where you are treated with respect and courtesy something this restaurant lacks,0
this is a restaurant that is definitely worth a visit heard from a friend that it is one of the only two north korean restaurants that is not in north korea food there is on the expensive side cost us usd 34 for a stir fried pork dumplings kimchi soup beef fried rice and drinks but the show in itself is worth it food was pretty good as well the show consists of a series of dancing singing and percussion it starts at 8pm so you may want to go slightly earlier to have your dinner and concentrate on the show when it starts you are also not allowed to take pictures we went at about 8pm when the staff are preparing for the show and they looked a bit flustered and service was a little rude however this changed completely after the show and they were really friendly and asking whether you enjoyed the food and the show highly recommended place most tuk tuk drivers should know where it is so it should not be difficult to get there ,1
if you don t mind propping up the north korean regime then take a visit to pyongyand probably the closest to north korea you will ever get in line with other reviewers very bizarre to see the waitresses suddenly performing rousing songs on stage also had to chuckle when we saw stewed dog on the menu no we did not order it ,1
this is the restaurant equivalent of smoking dmt you do it once and appreciate the experience and then never do it again because you fear for your mental health i felt really wierd being there as its like supporting the north korean government who didn t get this well known by being happy fluffy hippies the waitresses are cold and unsmiling only my male mates were too impressed by them to tell hand picked apparently after half an hour of kimchi and incredibly expensive beer they launched into this colourful whirling screeching show with happy smiling faces for the best part of an hour before going back to being grim and austere again the place has the weirdest vibe of anywhere i ve ever been there wasn t much after dinner banter i think we were all in a little shock like i said it was a great experience and i m glad i went but wow would i go back maybe just once ,1
sitting down and reading the rather high prices on the menu at this restaurant i figured i must be missing something the large unattractive brightly lit room was full of customers the service was sporadically slow and unfriendly the food was nothing to write home about which left me scratching my head why were there some many people here and then it happened the lights were dimmed as images of serene forests and waterfalls looped on the flat screen tv a piano accordion suddenly appeared and the waitresses began singing there were fake bouquets of flowers costumes resembling the ugly duckling after she grew into a beautiful swan heart shaped maracas mostly north korean karaoke songs and a random version of on top of the world by the carpenters the highlight was the waitresses rocking out on electric guitar bass guitar and a drum solo yes it was overpriced yes it was extremely weird yes i would never go back but without a doubt i will never forget it ,0
this is another one of those best kept secrets firstly as a westerner you will feel like the only person there you will be the place is full of koreans and some other asian nationalities the place is brightly lighten the menu was interesting guess there is no real difference between south korean and north korean cuisine either that or we did try some of the more unique offerings the waitresses are a highlight wearing very bright almost brides dresses they are very friendly and speak perfect english but then they double as the cast of the most fantastic restaurant show i have seen loads of fun and just a overall great experience go experience you will not be disappointed an absolute treat ,1
if you look for quiet place i guess it is not the right place for you since they have live music smoking speaking loudly korean and chinese what impressed me a lot is waitress there she play as many role she can be waitress singer instrument when is the time most of waitress will be on stage sing dance ,1
if you fancy korean food in phnom penh this is the place decent food in aircon but a must see floor show about 7pm all singing all dancing north korean culture and propaganda top value entertainment on the quirky scale ,1
if you truly want to get a taste of what authentic korean food taste like i would not recommend miss korea average food at the expensive prices i praise for the menu tho as it has a good variety of choices between side dishes chicken seafood beef etc i believe the most proud dish of the restaurant of the bbq however i personally think the dish is over priced for the under seasoning meat little proportion on the dish nevertheless i do recommend to order tteokbokki korean rice cake and the rice dishes as they are quite delicious and easy to eat ,1
