review,P/N
we d never had korean before and i d been wanting to try this for a while we let our server know we d never had it before and she gave us some recommendations we ended up going with the beef bulgogi and the dolsot bibimbap both were great it is important to know that some of the food is season to taste so plan to add some of the table sauce and soy sauce to make it how you like it the appetizer sides that came with each entree were great too service was excellent and everyone was very friendly lots of regulars while we were there ,1
i really was unsure of how much of the menu would appeal to me at korea house but i went with a large group that order several dishes they were all excellent my favorite dish was the seafood pancake but really enjoyed the chicken bulgogi fried dumplings and fried rice as well i definitely recommend korea house it s not fancy but it s good food also the staff were great dealing with our large group and the food came out fast and hot you can bring your own wine for a 5 corkage fee ,1
absolutely delicious authentic korean food served in a no frills tiny space in an otherwise drive by shopping center on charlotte pike go early or late to get a table or just plan to take out the wonderful small trays of side dishes that come with every meal come first and are so good they ll be gone before your food arrives ours were and the bibimbap is worth driving across the state for ,1
the banchan or side dishes that they serve are what i love about this restaurant there s about 8 different kinds and they re very consistent in terms of quality preparation and taste i also regularly get the doenjang jiggae usually to go the place can get crowded pretty quickly at peak meal times there aren t too many tables and no waiting area ,1
my eleven year old twins beg to get biminbop on days off of school we drive 45 minutes for the best around ,1
dont go here for ambiance but if you want bulgogi mandy soju great lunch the meal comes with rice and about 7 seven other side dishes radish and cabbage kimchi marinated bean sprouts tofu egg dish sweet radish etc get a cold soju to split or barley tea split an entree because you get such a large serving yummy it s a good meal service is fast and pleasant plenty of parking locals koreans also eat here worth a drive ,1
quick visit for lunch first time eating korean food this place isn t big or fancy but it s small and friendly and the food is excellent i can recommend the chicken bugolgi ,1
heard great things about korea house and decided to take dh here as a surprise dinner for our anniversary wow i m not a huge korean food fan but dh loves it i figured i could find something here and boy did i yum e as recommended by others the chicken bulgogi was delicious don t skip the fried potstickers dh said they tasted like the ones in seoul he had the bibimbop and said it was delicious as others mentioned the place is small with kitchy decor service and food quality were 100 and top notch i m all in on the korea house we ll be back ,1
one of our favorite places nothing much in the decor but service and food are wonderful i will say that i ve eaten there more than 10 times and only have gotten the chicken lettuce wraps they re so good that i can t bring myself to order anything else pretty small place we only go on off times ,1
this is a small but very good place specializing in authentic korean food and not fusion they offer numerous delicious hot soups as well as awesome hot pork and other meats the place is very good ,1
korea house is a tiny strip mall restaurant close to sylvan park we went for dinner on a thursday and were able to sit down immediately i noticed that some folks were getting to go orders so that is an option as well the service was good and the food explained to us when we asked i have zero experience with korean food but i found everything tasty the side dishes are fun prices are moderate and parking plentiful this is a very casual place they do take credit cards ,1
today i went to korea house i was assigned to south korea from 1991 1993 and i developed a love of korean food i had bulgogi and several small side dishes like kimchi pickled radishes pickled bean sprouts etc the dishes were all delicious and the service exceptional if you have an affinity for korean food i recommend korea house ,1
i ordered the chicken bulgogi and the flavors were phenomenal i got it with regular heat which is spicy but tolerable to finish the meal the vegetables were mixed and sautéed well portions were very appropriate for someone with a large appetite rice was sticky and moist without being mushy there was a bit of wait as it was very crowded but i would say it s worth the wait they make up in quality what they are lacking in ambience and decor the staff was nice and quick ,1
my first experience with korean food i was skeptical that i d like it but i absolutely loved everything on the table tiny little place that stays busy very reasonable prices and the food is deeeelicious friendly staff authentic food and atmosphere love this place ,1
this is one of the best restaurants in nashville small place but the service is awesome the food is amazing i live everything about it ,1
our first time here made me wonder if i d ever had a korean dish like this before it is a simple restaurant i told the waitress i wanted something with pork and she told me to get the bulgogi my wife had the beef version many cold side ms served with it along with lettuce to we assumed use for eating similar to a lettuce wrap except these were longer skinny romaine leaves i think food was very tasty ,0
